time,throughput
9.048,589600.0
9.049,589600.0
9.05,536000.0
9.051,589600.0
9.052,589600.0
9.053,536000.0
9.054,589600.0
9.055,589600.0
9.056,589600.0
9.057,589600.0
9.072,53600.0
9.073,107200.0
9.074,160800.0
9.075,214400.0
9.075,268000.0
9.076,321600.0
9.077,375200.0
9.078,428800.0
9.078,482400.0
9.079,536000.0
9.08,589600.0
9.081,643200.0
9.081,696800.0
9.082,696800.0
9.083,750400.0
9.084,750400.0
9.085,643200.0
9.085,696800.0
9.086,750400.0
9.087,750400.0
9.088,750400.0
9.088,804000.0
9.108,53600.0
9.109,107200.0
9.11,160800.0
9.111,214400.0
9.111,268000.0
9.112,321600.0
9.113,375200.0
9.114,428800.0
9.114,482400.0
9.115,536000.0
9.116,589600.0
9.117,643200.0
9.117,696800.0
9.118,750400.0
9.119,750400.0
9.12,750400.0
9.121,750400.0
9.121,804000.0
9.122,750400.0
9.123,750400.0
9.124,750400.0
9.124,804000.0
9.125,750400.0
9.144,53600.0
9.145,107200.0
9.146,160800.0
9.147,214400.0
9.147,268000.0
9.148,321600.0
9.149,375200.0
9.15,428800.0
9.15,482400.0
9.151,536000.0
9.152,589600.0
9.153,643200.0
9.153,696800.0
9.154,750400.0
9.155,750400.0
9.156,750400.0
9.157,750400.0
9.157,804000.0
9.158,750400.0
9.159,696800.0
9.16,750400.0
9.16,804000.0
9.179,53600.0
9.18,107200.0
9.181,160800.0
9.182,214400.0
9.182,268000.0
9.183,321600.0
9.184,375200.0
9.185,428800.0
9.185,482400.0
9.186,536000.0
9.187,589600.0
9.188,643200.0
9.188,696800.0
9.189,750400.0
9.19,750400.0
9.191,696800.0
9.192,750400.0
9.192,804000.0
9.193,750400.0
9.194,696800.0
9.195,750400.0
9.195,804000.0
9.196,750400.0
9.214,53600.0
9.215,107200.0
9.216,160800.0
9.217,214400.0
9.217,268000.0
9.218,321600.0
9.219,375200.0
9.22,428800.0
9.22,482400.0
9.221,536000.0
9.222,589600.0
9.223,643200.0
9.223,696800.0
9.224,750400.0
9.225,750400.0
9.226,696800.0
9.227,750400.0
9.227,804000.0
9.228,750400.0
9.229,750400.0
