time,bytesRx,mac_address
18.256,536,04-07-07:00:00:02:a0:0f:00
18.259,536,04-07-07:00:00:02:a0:0f:00
18.262,536,04-07-07:00:00:02:a0:0f:00
18.265,536,04-07-07:00:00:02:a0:0f:00
18.267,536,04-07-07:00:00:02:a0:0f:00
18.270,536,04-07-07:00:00:02:a0:0f:00
18.273,536,04-07-07:00:00:02:a0:0f:00
18.276,536,04-07-07:00:00:02:a0:0f:00
18.278,536,04-07-07:00:00:02:a0:0f:00
18.281,536,04-07-07:00:00:02:a0:0f:00
18.284,536,04-07-07:00:00:02:a0:0f:00
18.287,536,04-07-07:00:00:02:a0:0f:00
18.289,536,04-07-07:00:00:02:a0:0f:00
18.292,536,04-07-07:00:00:02:a0:0f:00
18.295,536,04-07-07:00:00:02:a0:0f:00
18.298,536,04-07-07:00:00:02:a0:0f:00
18.300,536,04-07-07:00:00:02:a0:0f:00
18.303,536,04-07-07:00:00:02:a0:0f:00
18.306,536,04-07-07:00:00:02:a0:0f:00
18.309,536,04-07-07:00:00:02:a0:0f:00
18.311,536,04-07-07:00:00:02:a0:0f:00
18.314,536,04-07-07:00:00:02:a0:0f:00
18.317,536,04-07-07:00:00:02:a0:0f:00
18.320,536,04-07-07:00:00:02:a0:0f:00
18.322,536,04-07-07:00:00:02:a0:0f:00
18.325,536,04-07-07:00:00:02:a0:0f:00
18.328,536,04-07-07:00:00:02:a0:0f:00
18.331,536,04-07-07:00:00:02:a0:0f:00
18.333,536,04-07-07:00:00:02:a0:0f:00
18.336,536,04-07-07:00:00:02:a0:0f:00
18.339,536,04-07-07:00:00:02:a0:0f:00
18.342,536,04-07-07:00:00:02:a0:0f:00
18.344,536,04-07-07:00:00:02:a0:0f:00
18.347,536,04-07-07:00:00:02:a0:0f:00
18.350,536,04-07-07:00:00:02:a0:0f:00
18.353,536,04-07-07:00:00:02:a0:0f:00
18.355,536,04-07-07:00:00:02:a0:0f:00
18.358,536,04-07-07:00:00:02:a0:0f:00
18.361,536,04-07-07:00:00:02:a0:0f:00
18.506,10720,04-07-07:00:00:02:a0:0f:00
18.509,536,04-07-07:00:00:02:a0:0f:00
18.511,536,04-07-07:00:00:02:a0:0f:00
18.514,536,04-07-07:00:00:02:a0:0f:00
18.517,536,04-07-07:00:00:02:a0:0f:00
18.520,536,04-07-07:00:00:02:a0:0f:00
18.537,536,04-07-07:00:00:02:a0:0f:00
18.540,536,04-07-07:00:00:02:a0:0f:00
18.543,536,04-07-07:00:00:02:a0:0f:00
18.546,536,04-07-07:00:00:02:a0:0f:00
18.548,536,04-07-07:00:00:02:a0:0f:00
18.551,536,04-07-07:00:00:02:a0:0f:00
18.554,536,04-07-07:00:00:02:a0:0f:00
18.574,536,04-07-07:00:00:02:a0:0f:00
18.577,536,04-07-07:00:00:02:a0:0f:00
18.580,536,04-07-07:00:00:02:a0:0f:00
18.583,536,04-07-07:00:00:02:a0:0f:00
18.585,536,04-07-07:00:00:02:a0:0f:00
18.588,536,04-07-07:00:00:02:a0:0f:00
18.591,536,04-07-07:00:00:02:a0:0f:00
18.594,536,04-07-07:00:00:02:a0:0f:00
18.614,536,04-07-07:00:00:02:a0:0f:00
18.617,536,04-07-07:00:00:02:a0:0f:00
18.620,536,04-07-07:00:00:02:a0:0f:00
18.623,536,04-07-07:00:00:02:a0:0f:00
18.625,536,04-07-07:00:00:02:a0:0f:00
18.628,536,04-07-07:00:00:02:a0:0f:00
18.631,536,04-07-07:00:00:02:a0:0f:00
18.634,536,04-07-07:00:00:02:a0:0f:00
18.636,536,04-07-07:00:00:02:a0:0f:00
18.654,536,04-07-07:00:00:02:a0:0f:00
18.657,536,04-07-07:00:00:02:a0:0f:00
18.660,536,04-07-07:00:00:02:a0:0f:00
18.663,536,04-07-07:00:00:02:a0:0f:00
18.665,536,04-07-07:00:00:02:a0:0f:00
18.668,536,04-07-07:00:00:02:a0:0f:00
18.671,536,04-07-07:00:00:02:a0:0f:00
18.674,536,04-07-07:00:00:02:a0:0f:00
18.691,536,04-07-07:00:00:02:a0:0f:00
18.694,536,04-07-07:00:00:02:a0:0f:00
18.697,536,04-07-07:00:00:02:a0:0f:00
18.700,536,04-07-07:00:00:02:a0:0f:00
18.702,536,04-07-07:00:00:02:a0:0f:00
18.705,536,04-07-07:00:00:02:a0:0f:00
18.708,536,04-07-07:00:00:02:a0:0f:00
18.711,536,04-07-07:00:00:02:a0:0f:00
18.713,536,04-07-07:00:00:02:a0:0f:00
18.728,536,04-07-07:00:00:02:a0:0f:00
18.731,536,04-07-07:00:00:02:a0:0f:00
18.734,536,04-07-07:00:00:02:a0:0f:00
18.737,536,04-07-07:00:00:02:a0:0f:00
18.739,536,04-07-07:00:00:02:a0:0f:00
18.742,536,04-07-07:00:00:02:a0:0f:00
18.745,536,04-07-07:00:00:02:a0:0f:00
18.748,536,04-07-07:00:00:02:a0:0f:00
18.750,536,04-07-07:00:00:02:a0:0f:00
18.753,536,04-07-07:00:00:02:a0:0f:00
18.768,536,04-07-07:00:00:02:a0:0f:00
18.771,536,04-07-07:00:00:02:a0:0f:00
18.774,536,04-07-07:00:00:02:a0:0f:00
18.777,536,04-07-07:00:00:02:a0:0f:00
18.779,536,04-07-07:00:00:02:a0:0f:00
18.782,536,04-07-07:00:00:02:a0:0f:00
18.785,536,04-07-07:00:00:02:a0:0f:00
18.788,536,04-07-07:00:00:02:a0:0f:00
18.790,536,04-07-07:00:00:02:a0:0f:00
18.793,536,04-07-07:00:00:02:a0:0f:00
18.796,536,04-07-07:00:00:02:a0:0f:00
18.808,536,04-07-07:00:00:02:a0:0f:00
18.811,536,04-07-07:00:00:02:a0:0f:00
18.814,536,04-07-07:00:00:02:a0:0f:00
18.817,536,04-07-07:00:00:02:a0:0f:00
18.819,536,04-07-07:00:00:02:a0:0f:00
18.822,536,04-07-07:00:00:02:a0:0f:00
18.825,536,04-07-07:00:00:02:a0:0f:00
18.828,536,04-07-07:00:00:02:a0:0f:00
18.830,536,04-07-07:00:00:02:a0:0f:00
18.833,536,04-07-07:00:00:02:a0:0f:00
18.845,536,04-07-07:00:00:02:a0:0f:00
18.848,536,04-07-07:00:00:02:a0:0f:00
18.851,536,04-07-07:00:00:02:a0:0f:00
18.854,536,04-07-07:00:00:02:a0:0f:00
18.856,536,04-07-07:00:00:02:a0:0f:00
18.859,536,04-07-07:00:00:02:a0:0f:00
18.862,536,04-07-07:00:00:02:a0:0f:00
18.865,536,04-07-07:00:00:02:a0:0f:00
18.867,536,04-07-07:00:00:02:a0:0f:00
18.870,536,04-07-07:00:00:02:a0:0f:00
18.882,536,04-07-07:00:00:02:a0:0f:00
18.885,536,04-07-07:00:00:02:a0:0f:00
18.888,536,04-07-07:00:00:02:a0:0f:00
18.891,536,04-07-07:00:00:02:a0:0f:00
18.893,536,04-07-07:00:00:02:a0:0f:00
18.896,536,04-07-07:00:00:02:a0:0f:00
18.899,536,04-07-07:00:00:02:a0:0f:00
18.902,536,04-07-07:00:00:02:a0:0f:00
18.904,536,04-07-07:00:00:02:a0:0f:00
18.907,536,04-07-07:00:00:02:a0:0f:00
18.910,536,04-07-07:00:00:02:a0:0f:00
18.919,536,04-07-07:00:00:02:a0:0f:00
18.922,536,04-07-07:00:00:02:a0:0f:00
18.925,536,04-07-07:00:00:02:a0:0f:00
18.928,536,04-07-07:00:00:02:a0:0f:00
18.930,536,04-07-07:00:00:02:a0:0f:00
18.933,536,04-07-07:00:00:02:a0:0f:00
18.936,536,04-07-07:00:00:02:a0:0f:00
18.939,536,04-07-07:00:00:02:a0:0f:00
18.941,536,04-07-07:00:00:02:a0:0f:00
18.944,536,04-07-07:00:00:02:a0:0f:00
18.947,536,04-07-07:00:00:02:a0:0f:00
18.950,536,04-07-07:00:00:02:a0:0f:00
18.959,536,04-07-07:00:00:02:a0:0f:00
18.962,536,04-07-07:00:00:02:a0:0f:00
18.965,536,04-07-07:00:00:02:a0:0f:00
18.968,536,04-07-07:00:00:02:a0:0f:00
18.970,536,04-07-07:00:00:02:a0:0f:00
18.973,536,04-07-07:00:00:02:a0:0f:00
18.976,536,04-07-07:00:00:02:a0:0f:00
18.979,536,04-07-07:00:00:02:a0:0f:00
18.981,536,04-07-07:00:00:02:a0:0f:00
18.984,536,04-07-07:00:00:02:a0:0f:00
18.987,536,04-07-07:00:00:02:a0:0f:00
18.990,536,04-07-07:00:00:02:a0:0f:00
18.992,536,04-07-07:00:00:02:a0:0f:00
18.999,536,04-07-07:00:00:02:a0:0f:00
19.002,536,04-07-07:00:00:02:a0:0f:00
19.005,536,04-07-07:00:00:02:a0:0f:00
19.008,536,04-07-07:00:00:02:a0:0f:00
19.010,536,04-07-07:00:00:02:a0:0f:00
19.013,536,04-07-07:00:00:02:a0:0f:00
19.016,536,04-07-07:00:00:02:a0:0f:00
19.019,536,04-07-07:00:00:02:a0:0f:00
19.021,536,04-07-07:00:00:02:a0:0f:00
19.024,536,04-07-07:00:00:02:a0:0f:00
19.027,536,04-07-07:00:00:02:a0:0f:00
19.030,536,04-07-07:00:00:02:a0:0f:00
19.036,536,04-07-07:00:00:02:a0:0f:00
19.039,536,04-07-07:00:00:02:a0:0f:00
19.042,536,04-07-07:00:00:02:a0:0f:00
19.045,536,04-07-07:00:00:02:a0:0f:00
19.047,536,04-07-07:00:00:02:a0:0f:00
19.050,536,04-07-07:00:00:02:a0:0f:00
19.053,536,04-07-07:00:00:02:a0:0f:00
19.056,536,04-07-07:00:00:02:a0:0f:00
19.058,536,04-07-07:00:00:02:a0:0f:00
19.061,536,04-07-07:00:00:02:a0:0f:00
19.064,536,04-07-07:00:00:02:a0:0f:00
19.067,536,04-07-07:00:00:02:a0:0f:00
19.069,536,04-07-07:00:00:02:a0:0f:00
19.073,536,04-07-07:00:00:02:a0:0f:00
19.076,536,04-07-07:00:00:02:a0:0f:00
19.079,536,04-07-07:00:00:02:a0:0f:00
19.082,536,04-07-07:00:00:02:a0:0f:00
19.084,536,04-07-07:00:00:02:a0:0f:00
19.087,536,04-07-07:00:00:02:a0:0f:00
