time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
1.126,1,1,1,-69.045,-4.241
1.126,1,2,0,-73.892,-9.088
1.131,1,1,1,-69.046,-4.241
1.131,1,2,0,-73.891,-9.086
1.136,1,1,1,-69.047,-4.242
1.136,1,2,0,-73.890,-9.085
1.141,1,1,1,-69.047,-4.242
1.141,1,2,0,-73.889,-9.084
1.146,1,1,1,-69.048,-4.243
1.146,1,2,0,-73.889,-9.083
1.151,1,1,1,-69.049,-4.243
1.151,1,2,0,-73.888,-9.082
1.156,1,1,1,-69.050,-4.243
1.156,1,2,0,-73.887,-9.081
1.161,1,1,1,-69.050,-4.244
1.161,1,2,0,-73.886,-9.079
1.166,1,1,1,-69.051,-4.244
1.166,1,2,0,-73.885,-9.078
1.171,1,1,1,-69.052,-4.244
1.171,1,2,0,-73.884,-9.077
1.176,1,1,1,-69.052,-4.245
1.176,1,2,0,-73.884,-9.076
1.181,1,1,1,-69.053,-4.245
1.181,1,2,0,-73.883,-9.075
1.186,1,1,1,-69.054,-4.246
1.186,1,2,0,-73.882,-9.074
1.191,1,1,1,-69.055,-4.246
1.191,1,2,0,-73.881,-9.072
1.196,1,1,1,-69.055,-4.246
1.196,1,2,0,-73.880,-9.071
1.201,1,1,1,-69.056,-4.247
1.201,1,2,0,-73.880,-9.070
1.206,1,1,1,-69.057,-4.247
1.206,1,2,0,-73.879,-9.069
1.211,1,1,1,-69.057,-4.247
1.211,1,2,0,-73.878,-9.068
1.216,1,1,1,-69.058,-4.248
1.216,1,2,0,-73.877,-9.067
1.221,1,1,1,-69.059,-4.248
1.221,1,2,0,-73.876,-9.066
1.226,1,1,1,-69.060,-4.249
1.226,1,2,0,-73.875,-9.064
1.231,1,1,1,-69.060,-4.249
1.231,1,2,0,-73.875,-9.063
1.236,1,1,1,-69.061,-4.249
1.236,1,2,0,-73.874,-9.062
1.241,1,1,1,-69.062,-4.250
1.241,1,2,0,-73.873,-9.061
1.246,1,1,1,-69.062,-4.250
1.246,1,2,0,-73.872,-9.060
1.251,1,1,1,-69.063,-4.251
1.251,1,2,0,-73.871,-9.059
1.256,1,1,1,-69.064,-4.251
1.256,1,2,0,-73.871,-9.057
1.261,1,1,1,-69.065,-4.251
1.261,1,2,0,-73.870,-9.056
1.266,1,1,1,-69.065,-4.252
1.266,1,2,0,-73.869,-9.055
1.271,1,1,1,-69.066,-4.252
1.271,1,2,0,-73.868,-9.054
1.276,1,1,1,-69.067,-4.252
1.276,1,2,0,-73.867,-9.053
1.281,1,1,1,-69.068,-4.253
1.281,1,2,0,-73.866,-9.052
1.286,1,1,1,-69.068,-4.253
1.286,1,2,0,-73.866,-9.051
1.291,1,1,1,-69.069,-4.254
1.291,1,2,0,-73.865,-9.049
1.296,1,1,1,-69.070,-4.254
1.296,1,2,0,-73.864,-9.048
1.301,1,1,1,-69.070,-4.254
1.301,1,2,0,-73.863,-9.047
1.306,1,1,1,-69.071,-4.255
1.306,1,2,0,-73.862,-9.046
1.311,1,1,1,-69.072,-4.255
1.311,1,2,0,-73.861,-9.045
1.316,1,1,1,-69.073,-4.255
1.316,1,2,0,-73.861,-9.044
1.321,1,1,1,-69.073,-4.256
1.321,1,2,0,-73.860,-9.042
1.326,1,1,1,-69.074,-4.256
1.326,1,2,0,-73.859,-9.041
1.331,1,1,1,-69.075,-4.257
1.331,1,2,0,-73.858,-9.040
1.336,1,1,1,-69.075,-4.257
1.336,1,2,0,-73.857,-9.039
1.341,1,1,1,-69.076,-4.257
1.341,1,2,0,-73.857,-9.038
1.346,1,1,1,-69.077,-4.258
1.346,1,2,0,-73.856,-9.037
1.351,1,1,1,-69.078,-4.258
1.351,1,2,0,-73.855,-9.035
